id,title,organization,prefecture,category,label_category,salary2,monthly_salary_yen,work_day,neccessary_capacity,support_system,other,work_location,people_number,application_period,detail_url
69528,【群馬県みどり市】地域おこし協力隊を1名募集！【移住定住支援に関する活動】,群馬県 みどり市,群馬県,"地域づくり,その他",協力隊,20万円以上,291000,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,活動終了後の定住定着に向けた支援あり,起業に関する支援あり,その他特別の支援制度あり",副業/兼業可能,（１）移住・定住支援に関する活動　みどり市全域,（１）移住・定住支援に関する活動　1名,2026-06-05 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/69528
69527,【群馬県みどり市】地域おこし協力隊を1名募集！【林業振興】,群馬県 みどり市,群馬県,農林水産・産業,協力隊,20万円以上,291000,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,活動終了後の定住定着に向けた支援あり,起業に関する支援あり,その他特別の支援制度あり",副業/兼業可能,（１）林業振興に関する活動　みどり市東町内,（１）林業振興に関する活動　1名,2026-06-05 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/69527
64990,味の継承者求む！！【第二章】,群馬県 下仁田町,群馬県,"観光,その他",協力隊,20万円以上,290000,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,起業に関する支援あり","未経験者歓迎,副業/兼業可能","西洋料理日昇軒　or れすとらんヒロ
※隊員申請者及び町・受入店とで相談して決定します。",２名,2026-07-01 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/64990
65002,自然と人々をつなぐ神津牧場で、一緒に新しい挑戦を始めませんか？,群馬県 下仁田町,群馬県,"農林水産・産業,観光",協力隊,20万円以上,290000,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,起業に関する支援あり","未経験者歓迎,副業/兼業可能",(財)神津牧場（下仁田町大字南野牧250）,1名,2026-07-01 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/65002
69716,【福岡県みやこ町】あなたの力で町をプロデュース！地域おこし協力隊を募集します！！,福岡県 みやこ町,福岡県,"農林水産・産業,観光,地域づくり",協力隊,20万円以上,219400,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,起業に関する支援あり",未経験者歓迎,"（1）地域コミュニティマネージャー ： みやこ町文化交流センター　　
（2）地域フードプロデューサー ： 伊良原地域交流施設（レストラン）、じゃぶち森のビレッジ（キャンプ場）、伊良原自然体験施設（環境教育棟）","（1）地域コミュニティマネージャー　　1人
（2）地域フードプロデューサー　　1人",2026-07-01 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/69716
69678,【地域おこし協力隊募集】空き家から、新しい挑戦を。敦賀市で仲間を募集します！,福井県 敦賀市,福井県,空き家,"協力隊,インターン,おためし",指定しない,200000,週5日以上,あり,,,福井県敦賀市,２名,2026-06-29 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/69678
69598,産科がない地域だからこそあなたが必要。家族の未来を支える「コミュニティ助産師」になりませんか？【岡山県高梁市】,岡山県 高梁市,岡山県,"医療・福祉,地域づくり",協力隊,20万円以上,266000,不定期または応相談,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,活動終了後の定住定着に向けた支援あり,起業に関する支援あり",副業/兼業可能,"高梁市内全域

　着任後一定期間（３～６ヶ月程度）は、地域を知るために関係団体等の活動にも参画し、課題の調査と計画作成に取り組んでいただきます。
　計画策定後は、地域や関係機関と連携しながら課題解決に向けた活動を行っていただきます。",１名,2026-06-22 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/69598
65329,熊本県八代市泉町「平家伝説の里で山村の魅力を発見しませんか」～地域おこし協力隊～,熊本県 八代市,熊本県,"農林水産・産業,観光,地域づくり,空き家,その他","協力隊,おためし",10万円～20万円未満,196640,週3～4日,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり",未経験者歓迎,"勤務地　八代市役所泉支所（八代市泉町柿迫3188-2）
活動地　泉町全域",１人,2026-06-02 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/65329
69684,【栃木市】歴史が息づく「蔵の街」でスポーツツーリズムに挑戦しませんか！,栃木県 栃木市,栃木県,スポーツ,協力隊,20万円以上,224224,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,起業に関する支援あり",,栃木市役所スポーツ課【栃木市川原田町760マルワ・アリーナとちぎ（栃木市総合体育館内）】,1名,2026-06-30 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/69684
67447,【7/31締切】課題をチャンスに！情報発信・空き家バンク・移住定住分野で活躍する協力隊を募集します,千葉県 大多喜町,千葉県,"空き家,その他",協力隊,20万円以上,200000,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,起業に関する支援あり","65歳以上歓迎,未経験者歓迎,副業/兼業可能","【勤務地】
　大多喜町役場企画課
　※業務内容によっては、勤務地が変更になる場合があります。

【活動地域】
　大多喜町全域での活動を基本とします",１人,2026-07-01 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/67447
